,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation accuracy
254,Lrelu,32.0,2000,1e-06,0.01,0.0,0.5,False,SGD,[3],0.7647058823529411
255,Lrelu,,2000,1e-06,0.1,0.001,0.0,False,SGD,[3],0.7647058823529411
256,Lrelu,,2000,1e-06,0.1,0.001,0.0,True,SGD,[3],0.7647058823529411
257,Lrelu,32.0,2000,1e-06,0.7,0.01,0.9,False,SGD,[2],0.7647058823529411
258,Lrelu,32.0,2000,1e-06,0.7,0.001,0.0,True,SGD,[5],0.7588235294117649
259,Lrelu,32.0,2000,1e-06,0.7,0.001,0.0,False,SGD,[5],0.7588235294117649
260,Lrelu,32.0,2000,1e-06,0.7,0.0,0.0,True,SGD,[5],0.7588235294117648
261,Lrelu,32.0,2000,1e-06,0.1,0.01,0.5,True,SGD,[5],0.7588235294117648
262,Lrelu,32.0,2000,1e-06,0.7,0.0,0.0,False,SGD,[5],0.7588235294117648
263,Lrelu,32.0,2000,1e-06,0.7,0.001,0.5,False,SGD,[2],0.7588235294117648
264,Lrelu,32.0,2000,1e-06,0.7,0.0,0.5,False,SGD,[2],0.7588235294117648
265,Lrelu,32.0,2000,1e-06,0.01,0.0001,0.5,False,SGD,[3],0.7588235294117647
266,Lrelu,,2000,1e-06,0.01,0.01,0.9,False,SGD,[3],0.7588235294117647
267,Lrelu,32.0,2000,1e-06,0.7,0.01,0.0,False,SGD,[2],0.7588235294117646
268,Lrelu,32.0,2000,1e-06,0.7,0.01,0.0,True,SGD,[2],0.7588235294117646
269,Lrelu,,2000,1e-06,0.5,0.0,0.0,False,SGD,[2],0.7529411764705882
270,Lrelu,,2000,1e-06,0.5,0.001,0.0,False,SGD,[2],0.7529411764705882
271,Lrelu,,2000,1e-06,0.5,0.001,0.0,True,SGD,[2],0.7529411764705882
272,Lrelu,,2000,1e-06,0.5,0.0001,0.0,True,SGD,[2],0.7529411764705882
273,Lrelu,,2000,1e-06,0.1,0.0001,0.0,False,SGD,[3],0.7529411764705882
274,Lrelu,,2000,1e-06,0.5,0.0,0.0,True,SGD,[2],0.7529411764705882
275,Lrelu,32.0,2000,1e-06,0.01,0.001,0.5,False,SGD,[3],0.7529411764705882
276,Lrelu,,2000,1e-06,0.1,0.0001,0.0,True,SGD,[3],0.7529411764705882
277,Lrelu,,2000,1e-06,0.5,0.0001,0.0,False,SGD,[2],0.7529411764705882
278,Lrelu,,2000,1e-06,0.5,0.01,0.5,False,SGD,[2],0.7529411764705882
279,Lrelu,,2000,1e-06,0.1,0.0,0.0,True,SGD,[3],0.7529411764705882
280,Lrelu,,2000,1e-06,0.1,0.0,0.0,False,SGD,[3],0.7529411764705882
281,Lrelu,,2000,1e-06,0.5,0.0001,0.5,False,SGD,[2],0.7529411764705882
282,Lrelu,,2000,1e-06,0.5,0.0,0.5,False,SGD,[2],0.7529411764705882
283,Lrelu,32.0,2000,1e-06,0.01,0.001,0.9,True,SGD,[5],0.7470588235294118
284,Lrelu,32.0,2000,1e-06,0.1,0.0,0.5,True,SGD,[2],0.7470588235294118
285,Lrelu,32.0,2000,1e-06,0.7,0.01,0.5,False,SGD,[2],0.7470588235294118
286,Lrelu,32.0,2000,1e-06,0.7,0.001,0.5,True,SGD,[2],0.7470588235294118
287,Lrelu,,2000,1e-06,0.5,0.01,0.0,True,SGD,[2],0.7470588235294117
288,Lrelu,,2000,1e-06,0.5,0.01,0.0,False,SGD,[2],0.7470588235294117
289,Lrelu,32.0,2000,1e-06,0.5,0.0,0.5,False,SGD,[5],0.7411764705882353
290,Lrelu,,2000,1e-06,0.1,0.0001,0.9,False,SGD,[5],0.7411764705882353
291,Lrelu,,2000,1e-06,0.7,0.01,0.0,True,SGD,[2],0.7411764705882353
292,Lrelu,32.0,2000,1e-06,0.1,0.0,0.5,True,SGD,[5],0.7411764705882353
